index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRfq9MLrPL9tFkuFbGb98fMGDdl67v4I2iDLYCVprdsdGaXURCl9UNEr8v_65X1hKrYF5NjSvB01HOGexg-3CJxjkVSu9zPNJ2AunP09vPa0gjEILskTILx&usqp=CAE,https://agribegri.com/products/buy-katyayani-dismiss-dimethomorph-50-wp-fungicide-online.php
1,Apple___Black_rot,Magic FungiX For Fungal disease,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTZZH2SUe7Hufpd49iFoF_04c96J-fZeywsYQXDb0gFerGOYyL7xPBxLN05LIx6s36u6C_qMvtescsDbrTEzniJp0yhfEsvJoTCMD7FDnI&usqp=CAE,https://agribegri.com/products/buy-fungicide-online-india--organic-fungicide--yield-enhancer.php
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT2JQ-fAdtrzzmkSespqEpKwop3BnWntsLioVSgjy79mpxQVPSqoD4v9yfL0mtiFJvFnPqeE7EcefadhdEpc9uUTCZbROwOPsklL_XDMSLTpxOGvIcBMMFiBQ&usqp=CAE,https://agribegri.com/products/buy-organic-fungicide-all-in-1-online--organic-fungicide-.php
3,Apple___healthy,Tapti Booster Organic Fertilizer,https://rukminim1.flixcart.com/image/416/416/kc6jyq80/soil-manure/6/y/v/500-tapti-booster-500-ml-green-yantra-original-imaftd6rrgfhvshc.jpeg?q=70,https://agribegri.com/products/all-vegetable-booster-liquid-plant-growth-prmoter.php
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSW_S8Mrnq0lLnXWCSPPlONkrPbkB8C3Gy9613OGD0ZaejmP5UNRf8LFnXUYJTM64BC1VYLYcYSbSSv-qVTV15RzDJZipvzsikme8oHSEtVX_ZKDiUQpnbHPQ&usqp=CAE,https://lazygardener.in/products/greenstix?variant=30920527020087&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2019-10-29&utm_source=google&utm_medium=smart_campaign
6,Cherry___Powdery_mildew,ROM Mildew Clean,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSeHlqcksdF25o8mv-fYxNOrfJkp4Ov2hgVf01w2aCed1WbyL604ubLtPAlB7rfNoHRtxbTljQvA7P3VRh8LM0XndFHWDqvC4kC4w-DLQiknnS3vRzAxTpP&usqp=CAE,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php
7,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food ,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSpHb-xEa2rTSIEf5QtLMbax4zvRsTzD4kAwQ9Rcwr3AbDDQxUhmMmPJBVGLCAvczXrXAqwWKN-rReHwSR-XSGlsJRLvZOKRXHV-54uLhU_6EIuBq5BHXaAwg&usqp=CAE,https://www.amazon.in/PLANTIC-Fertilizer-Flowering-Blooming-BloomDrop/dp/B08YKFP4BM
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTm0wIanaB9OdUkuH9IJ-bHG_qyungwi2lWnmkFmze9VFU1yeSuRO3wImAhPfEJwuBZXPSEf5QwZhieERwrlE5H7lg_8bvf&usqp=CAE,https://www.bighaat.com/products/antracol?variant=14521365063&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT86avIdiTsKNdgo0Uss9r2tkn9pcx6VCGHeaubXDiR0u_fqqyXomgc1BBviREao7BM_eQiR6tbLCzUxG5VzS4du5DgwBVbtwSLuTEexpI&usqp=CAE,https://agribegri.com/products/buy-online-3-star-m45-mancozeb-75-wp.php
10,Corn___Northern_Leaf_Blight,QUIT (Carbendazim 12% + Mancozeb 63% WP) Protective And Curative Fungicide,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRO2FK6IsSuUuQQ0ehzVKIsEdgjCGbMq2nBmOsUp38ajgm8dPwR9MvTBL9_PFRZVRkbtiAzdwP8lwGlrR1c7axKHE6VALk6l3X4Snu9HWFCKpVCFYly65Bs&usqp=CAE,https://agribegri.com/products/buy-carbendazim-12--mancozeb-63-online--buy-fungicide-online.php
11,Corn___healthy,Biomass Lab Sampoorn Fasal Ahaar (Multipurpose Organic Fertilizer & Plant Food),https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRC_8hhC12Kbw0e0w-afXO9kzWJHG1LchaIa66xnIpU6OmZLnY3OzCrRd2ilBS9bSjI9jQI0hJ6Z20SUk7nf7uCukqv77aTun147K5g2Ec&usqp=CAE,https://www.flipkart.com/biomass-lab-sampoorn-fasal-ahaar-multipurpose-organic-fertilizer-plant-food-1-kg-fertilizer-manure/p/itm69c56f2e19c6a?pid=SMNFM3999GGTXFJZ&lid=LSTSMNFM3999GGTXFJZPRQ8CT&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
12,Grape___Black_rot,Southern Ag Captan 50% WP Fungicide,https://images-na.ssl-images-amazon.com/images/I/51s1IbUD-qL.jpg,https://southernag.com/product/captan-fungicide/
13,Grape___Esca_(Black_Measles),ALIETTE FUNGICIDE,https://khetionline.in/wp-content/uploads/2021/01/Aliette.jpeg,https://krushidukan.bharatagri.com/en/products/bayer-aliette-systemic-fungicide?variant=44556245172467&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=google&utm_campaign=22221219496&utm_medium=x&utm_content=&utm_term=&gad_source=1&gbraid=0AAAAACimtnL-A5ZvgkJl2yY_1G7tOo2uv&gclid=EAIaIQobChMI7Nbn9MP3jAMVF6RmAh3L6wtmEAQYASABEgLUe_D_BwE
14,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Tebulur Tebuconazole 10% + Sulphur 65% WG , Advance Broad Spectrum Premix Fungicides",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQPzI0SnMtb60x2D1gGkRHsvD1j7NRl8Y7pjuIyuyrTxdpvUOpci7NxHWxt4Gfn3ETrCrgWKvGPH-jmbboE2vi4b4MiTq3kZKMdHFUSctUmXcH9ZRed0j4-&usqp=CAE,https://agribegri.com/products/buy-tebuconazole-10--sulphur-65-wg-online--online-agro-store.php
15,Grape___healthy,Sansar Green Grapes Fertilizer Fertilizer,https://rukminim1.flixcart.com/image/416/416/k51cpe80/soil-manure/4/m/h/400-grapes-fertilizer-sansar-green-original-imafntdujntbdner.jpeg?q=70,https://sansargreen.com/shop/organic-fertilizer/fruit-fertilizer/grape_fertilizer/sansar-green-grapes-magic-mixture/?srsltid=AfmBOorqHMBlEdG2iDHx_qRhagNrTjNKkxmVkVK81lmJ-Vg87P1w2k7A
16,Orange___Haunglongbing_(Citrus_greening),Green Dews CITRUS PLANT FOOD Fertilizer ,https://rukminim1.flixcart.com/image/416/416/ju79hu80/soil-manure/x/m/b/400-citrus-plant-food-green-dews-original-imaffbxhn3rz8k5p.jpeg?q=70,https://www.flipkart.com/green-dews-citrus-plant-food-fertilizer/p/itmffde2heg7hkq2?pid=SMNFFBY9Z8DVTXMB&lid=LSTSMNFFBY9Z8DVTXMBEL4PDT&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
17,Peach___Bacterial_spot,SCORE FUNGICIDE,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ5shxq773t5Lmux-hhShKezjR64Af41W6NdhsDMXI-dNSAVvfY45rb5iHxMaqZXBdtFnfuiIcN8PdQ06YcYZi3gq6Uow-j&usqp=CAE,https://www.bighaat.com/products/score-fungicide?variant=27949138149399&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
18,Peach___healthy,Jeevamrut (Plant Growth Tonic),https://5.imimg.com/data5/EX/IF/FP/SELLER-9070624/jeevamrut-500x500.jpg,https://nurserylive.com/products/jeevamrut-plant-growth-tonic-250-ml-for-garden?variant=34163328811148
19,"Pepper,_bell___Bacterial_spot",Systemic Fungicide (Domark) Tetraconazole 3.8% w/w (4% w/v) EW,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQNEP3gEC77FdOUBy_xUgIbq7UU_N2TX1zRwCFvtl02Kz5-a6X2ZhXPAhf9y0kLieGR2VTVarUnZP_JMs0kFtEw-LqJwVSMHsjGP4Bz9scPPIB6NCLtcD7JNA&usqp=CAE,https://agribegri.com/products/buy-systemic-fungicide-online--tetraconazole-38--domark-.php
20,"Pepper,_bell___healthy",Casa De Amor Organic Potash Fertilizer,https://5.imimg.com/data5/ECOM/Default/2022/7/IK/IZ/CB/153757314/potash-for-plants-5-kg.jpg,https://www.casagardenshop.com/products/organic-potash-fertilizer-for-gardening-improves-size-of-flowers-fruits-and-vegetables-by-casa-de-amor-1-kg-1?variant=40073291088&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2020-02-08&utm_source=google&utm_medium=smart_campaign
